trade_id,symbol,direction,entry_time,entry_price,stop_loss,risk,exit_time,exit_reason,rr,pnl_dollars,is_winner,tp1_hit,tp2_hit,tp3_hit,hours_in_trade
100,NZD_JPY,bearish,2023-01-19 22:00:00,83.071,84.98372136293744,1.9127213629374467,2023-03-01 07:00:00,SL,-1.0,-360.0,False,False,False,False,969
189,GBP_NZD,bullish,2023-02-28 22:00:00,1.92428336,1.9004189376144929,0.023864422385507122,2023-03-01 10:00:00,TP1+Trail,0.21,75.6,True,True,False,False,12
193,EUR_USD,bearish,2023-02-28 22:00:00,1.06642942,1.0777289606907992,0.011299540690799192,2023-03-01 10:00:00,TP1+Trail,0.21,75.6,True,True,False,False,12
131,GBP_CAD,bullish,2023-02-01 22:00:00,1.63272138,1.603145838174331,0.029575541825668905,2023-03-01 15:00:00,TP1+Trail,0.21,75.6,True,True,False,False,665
143,GBP_CAD,bullish,2023-02-02 22:00:00,1.63272138,1.6036190900584792,0.029102289941520754,2023-03-01 15:00:00,TP1+Trail,0.21,75.6,True,True,False,False,641
187,EUR_CHF,bearish,2023-02-26 22:00:00,0.9939631,1.001618175097297,0.007655075097297015,2023-03-01 15:00:00,SL,-1.0,-360.0,False,False,False,False,65
186,ETH_USD,bullish,2023-02-25 00:00:00,1570.6920576171874,1445.8110428333434,124.88101478384397,2023-03-03 01:00:00,TP1+Trail,0.21,75.6,True,True,False,False,145
198,NZD_JPY,bullish,2023-03-02 22:00:00,84.526,83.4418178159666,1.084182184033395,2023-03-03 14:00:00,TP1+Trail,0.21,75.6,True,True,False,False,16
197,NZD_JPY,bullish,2023-02-28 22:00:00,84.402352,83.277457348695,1.1248946513049987,2023-03-05 23:00:00,TP1+Trail,0.21,75.6,True,True,False,False,121
188,EUR_CHF,bullish,2023-02-26 22:00:00,0.9943066,0.9833716413562936,0.010934958643706416,2023-03-06 07:00:00,TP1+Trail,0.21,75.6,True,True,False,False,177
194,NZD_USD,bullish,2023-02-28 22:00:00,0.61790792,0.6094276548427663,0.008480265157233768,2023-03-06 11:00:00,TP1+Trail,0.21,75.6,True,True,False,False,133
207,GBP_JPY,bullish,2023-03-06 22:00:00,162.215,159.79709525810654,2.417904741893466,2023-03-07 16:00:00,TP1+Trail,0.21,75.6,True,True,False,False,18
205,AUD_CHF,bearish,2023-03-05 22:00:00,0.63225886,0.6384172594668667,0.006158399466866693,2023-03-07 18:00:00,TP3,1.354,487.44,True,True,True,True,44
203,NZD_CHF,bearish,2023-03-05 22:00:00,0.58097408,0.5858949029394916,0.004920822939491698,2023-03-07 20:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,46
201,NZD_USD,bullish,2023-03-05 22:00:00,0.61790792,0.609482108068283,0.008425811931717098,2023-03-08 02:00:00,SL,-1.0,-360.0,False,False,False,False,52
209,AUD_USD,bearish,2023-03-06 22:00:00,0.67222432,0.6848373735736091,0.01261305357360909,2023-03-08 04:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,30
